site_name,site_address,site_city,site_state,site_zip_code,latitude,longitude,animal_type,total_no_of_animals,total_no_of_animal_units,name
barry douglas malpass/overeasy and kathys too farms,24073 e. hurleys neck rd,mardela springs,md,21837,38.4142579,-75.779216,chicken,104715,NA,barry douglas malpassovereasy and kathys too farms
barry douglas malpass/wet bottom farm,25140 rewastico rd,hebron,md,21830,38.4120993,-75.7449058,chicken,52400,NA,barry douglas malpasswet bottom farm
barry spedden (expansion),5931 cokesbury rd,rhodesdale,md,21659,38.6154372510961,-75.7274251217792,chicken,341200,NA,barry spedden expansion
baty poultry farm,3350 county road 8,hanceville,al,35077,33.96684,-86.948045,chicken,NA,NA,baty poultry farm
beacon villas,40033 8 mile rd,northville,mi,48167,42.4354807206089,-83.4393294900656,chicken,1600,NA,beacon villas
beaty poultry farm,water tank road,clayton,al,36048,31.840833,-85.575556,chicken,NA,NA,beaty poultry farm
beaver run farm inc./quint riley farm,7779 holt rd,parsonsburg,md,21849,38.4063709,-75.5005846,chicken,42000,NA,beaver run farm incquint riley farm
becky thomas,20672 lawrence 1100,monett,mo,65708,36.976411142,-93.878281025,chicken,135000,1080,becky thomas
beechwood poultry,4074 alabama highway 68,gaylesville,al,35973,34.261944,-85.572222,chicken,NA,NA,beechwood poultry
bell farms,315 county road 1646,cullman,al,35058,34.18969,-86.68414,chicken,NA,NA,bell farms
bellaire farm,9192 elizabethtown rd,elizabethtown,pa,NA,40.175,-76.565833,chicken,NA,NA,bellaire farm
bellview farms inc./j.b. and brad murphy farms,4820 centennial rd,vienna,md,21659,38.5441245165311,-75.8380437768174,chicken,347200,NA,bellview farms incjb and brad murphy farms
ben hunt farm,1815 county road 48,heflin,al,36264,33.594776,-85.375559,chicken,NA,NA,ben hunt farm
ben lim/emmanuel farm,3523 chateau drive,east new market,md,21631,38.5506595,-75.977272,chicken,64800,NA,ben limemmanuel farm
ben nguyen/topton farm,31798 w. post office rd,princess anne,md,21853,38.2130515,-75.6504185,chicken,410000,NA,ben nguyentopton farm
"ben nguyen/topton farms, llc (expansion)",5625 mt. hermon church rd,salisbury,md,21804,38.3463753383876,-75.5381032677382,chicken,314500,NA,ben nguyentopton farms llc expansion
"ben nguyen/topton farms, llc/tiger and empress farm",9265 amber ln,westover,md,21871,38.1416866,-75.7337383,chicken,210000,NA,ben nguyentopton farms llctiger and empress farm
benefield farms,1572 butts road,blountsville,al,35031,34.07959,-86.6187,chicken,NA,NA,benefield farms
benefield farms,265 counrty road 706,roanoke,al,36274,33.28194,-85.36711,chicken,NA,NA,benefield farms
benjamin aydelotte/sheephouse farm,3646 sheephouse rd,pocomoke city,md,21851,38.0422481,-75.4954389,chicken,92000,NA,benjamin aydelottesheephouse farm
"benjamin dilworth/beyla farm, llc (new construction)",25489 towers road,denton,md,21629,38.8376028674083,-75.8223434008127,chicken,268000,NA,benjamin dilworthbeyla farm llc new construction
benjamin taylor (expansion),4159 payne road,preston,md,21655,38.7215113710985,-75.8899614760844,chicken,127200,NA,benjamin taylor expansion
bert and anita brown farm,865 farm road 2090,purdy,mo,65734,36.802507565,-94.0495129,chicken,147000,1176,bert and anita brown farm
bert ramsay/sandy beach farm,30560 charles barnes rd,westover,md,21871,38.067672555298,-75.6953255107168,chicken,107000,NA,bert ramsaysandy beach farm
bert weber/pride rock farm,4119 bestpitch ferry rd,cambridge,md,21613,38.4491514005937,-76.029005585699,chicken,49000,NA,bert weberpride rock farm
"better days farm operations, llc",25056 e. cherry ln,greensboro,md,21639,39.0080076161089,-75.8252481480832,chicken,300000,NA,better days farm operations llc
beverett farms,1724 county road 16,midland city,al,36350,31.410349,-85.466082,chicken,NA,NA,beverett farms
bibb farm,407 n johnson chapel road,danville,al,35619,34.425731,-87.082457,chicken,NA,NA,bibb farm
bickerchick farm,507 county road 107,ashland,al,36258,33.507222,-85.654722,chicken,NA,NA,bickerchick farm
biddle farms,541 county road 675,valley head,al,35989,34.581246,-85.718241,chicken,NA,NA,biddle farms
big c inc.,8401 hwy 9,centre,al,35960,34.080278,-85.626389,chicken,NA,NA,big c inc
"big creek poultry, llc",14193 east hwy 27,ozark,al,NA,31.472936,-85.666892,chicken,NA,NA,big creek poultry llc
big ds poultry,979 co rd 32,gadsden,al,NA,34.032863,-85.883032,chicken,NA,NA,big ds poultry
big eye farm,2250 friendship avenue,cedar bluff,al,35983,34.236389,-85.773611,chicken,NA,NA,big eye farm
big gully farm,6746 meriwether trail,honoraville,al,36042,31.94923,-86.417231,chicken,NA,NA,big gully farm
big mac farm,1339 co rd 113,lineville,al,NA,33.3325,-85.641667,chicken,NA,NA,big mac farm
big oak farm,18098 county road 420a,puxico,mo,63960,36.880188037,-90.116983269,chicken,250000,2000,big oak farm
big pine farming company,893 co rd 57 n,abbeville,al,NA,31.594444,-85.159167,chicken,NA,NA,big pine farming company
big rock farms,75 county road 1017,boaz,al,35957,34.191066,-86.203746,chicken,NA,NA,big rock farms
big spring creek farm,82029 u.s. highway 278,blountsville,al,35031,34.1597,-86.46876,chicken,NA,NA,big spring creek farm
big spur farm,hwy 49 s newsite .5 miles,daviston,al,NA,33.10883,-85.77129,chicken,NA,NA,big spur farm
big valley chicks,9990 county road 7,goodwater,al,35072,33.07414,-85.975243,chicken,NA,NA,big valley chicks
big valley farm,armstrong road,grove oak,al,35975,34.428492,-86.052753,chicken,NA,NA,big valley farm
big valley poultry,7952 al hwy 68,collinsville,al,35961,34.289464,-85.91399,chicken,NA,NA,big valley poultry
bill ferguson farm,12380 east alabama highway 27,newville,al,36353,31.485833,-85.450278,chicken,NA,NA,bill ferguson farm
bill frazier farm,255 swick farm road,phil campbell,al,35581,34.30109,-87.72495,chicken,NA,NA,bill frazier farm
bill joyce,11042 sumac road,jasper,mo,64755,37.318916718,-94.248082883,chicken,85000,1417,bill joyce
bill miller farm,3509 follow ditch rd,princess anne,md,21853,38.20804,-75.70611,chicken,128000,NA,bill miller farm
billy eagerton farm,billy eagerton,jack,al,NA,31.548056,-85.884444,chicken,NA,NA,billy eagerton farm
billy gilley,135 county road 1684,holly pond,al,35083,34.22585,-86.61253,chicken,NA,NA,billy gilley
billy joe tomlinson farm,32832 shavox rd,parsonsburg,md,21849,38.3602774,-75.4733484,chicken,59200,NA,billy joe tomlinson farm
billy wayne cravey,no tresspassing road,opp,al,36467,31.23777,-86.30509,chicken,NA,NA,billy wayne cravey
bingo farm - blia xiong,route 2,monett,mo,65708,36.900110925,-93.992999781,chicken,132000,1056,bingo farm  blia xiong
bkr farms,650 county road 852,crane hill,al,35053,34.086545,-87.044019,chicken,NA,NA,bkr farms
blacksmith farm,12835 fr 1182,aurora,mo,65605,36.751890755,-93.739057437,chicken,180000,1440,blacksmith farm
blaxton llc,county rd. 9,dothan,al,36375,31.255261,-85.405638,chicken,NA,NA,blaxton llc
blong xiong,6006 state hwy cc,cassville,mo,65625,36.719746103,-93.961000661,chicken,179000,1432,blong xiong
bloomfield farm,20834 county road 524,bloomfield,mo,63825,36.886860703,-89.898002237,chicken,208750,1670,bloomfield farm
blue racer farm,14822 hwy e,windsor,mo,65360,38.472889531,-93.465902095,chicken,156000,1248,blue racer farm
blue ridge farms inc.,238 arrowhead lane,jasper,al,35503,33.984278,-87.278321,chicken,NA,NA,blue ridge farms inc
"blue ridge, haywood, birdegg farms",7340 county road 13 delta,delta,al,36264,33.551574,-85.692346,chicken,NA,NA,blue ridge haywood birdegg farms
bluff creek farm,284 highway 43,phil campbell,al,NA,34.312967,-87.78415,chicken,NA,NA,bluff creek farm
bluff spring farm,803 wyers road,eldridge,al,NA,33.925374,-87.61763,chicken,NA,NA,bluff spring farm
bobbie jo and dorenda meek,14292 farm road 1085,cassville,mo,65625,36.727359196,-93.917009933,chicken,246000,1968,bobbie jo and dorenda meek
bobby f. henderson farm,431 county road 704,enterprise,al,36330,31.32029,-85.795372,chicken,NA,NA,bobby f henderson farm
bobo farm,county road 77,fort payne,al,35967,34.414716,-85.698844,chicken,NA,NA,bobo farm
"bob's farm, inc.",10359 georgetown rd,berlin,md,21811,38.350589,-75.2017476,chicken,112000,NA,bobs farm inc
bogan mountain poultry,6927 alabama highway 68 east,gaylesville,al,35973,34.281667,-85.529444,chicken,NA,NA,bogan mountain poultry
bone creek farm,484 county rd. 115,section,al,35771,34.50569,-85.984036,chicken,NA,NA,bone creek farm
bonnie and henry ostermann,4160 laurel grove rd,federalsburg,md,21632,38.7222892,-75.811073,chicken,37500,NA,bonnie and henry ostermann
"bonnie lewis/a & b lewis, llc.",6704 worcester hwy,newark,md,21841,38.2345863,-75.3157454,chicken,85000,NA,bonnie lewisa  b lewis llc
bosslady farms,caraway spur,louisville,al,36048,31.83273,-85.64752,chicken,NA,NA,bosslady farms
bottoms farms,chipley road,black,al,36314,31.01446,-85.793527,chicken,NA,NA,bottoms farms
boutwell farms,749 cr 2203,troy,al,36079,31.770833,-86.110556,chicken,NA,NA,boutwell farms
bowman farm,co rd 591 and co rd 119,fort payne,al,35968,34.536944,-85.7525,chicken,NA,NA,bowman farm
brad bohon,14498 victoria drive,stover,mo,65078,38.475321446,-93.04405734,chicken,156000,1248,brad bohon
bradley hopper,hc 4 box 615,doniphan,mo,63935,36.512322776,-90.838439119,chicken,205600,1645,bradley hopper
brad's farm,7755 hwy 431 n,alexandria,al,36250,33.791944,-85.888333,chicken,NA,NA,brads farm
brandon farms,1722 county road 255,fort payne,al,35967,34.381988,-85.683277,chicken,NA,NA,brandon farms
brenda k. allen/june persons farm,10985 riverton rd,mardela springs,md,21837,38.4950679,-75.7635578,chicken,38400,NA,brenda k allenjune persons farm
brent and krystal walling,8069 county road 203,danville,al,35619,34.446147,-87.161057,chicken,NA,NA,brent and krystal walling
brent powell-powell farm,1369 co. hwy. 408,benton,mo,63736,37.060910958,-89.56286719,chicken,192000,1536,brent powellpowell farm
bret vickery farm,644 hill road,hackleburg,al,35564,34.240834,-87.805783,chicken,NA,NA,bret vickery farm
brett gilbert farm,county road 83,pisgah,al,35765,34.66801,-85.8328,chicken,NA,NA,brett gilbert farm
"brian derrickson/ chicken city, ltd.",630 dun swamp rd,pocomoke city,md,21851,38.022713,-75.5580534,chicken,213500,NA,brian derrickson chicken city ltd
"brian gillion/green hotels, inc.",29935 connelly mill rd,delmar,md,21875,38.4291817,-75.5743366,chicken,86200,NA,brian gilliongreen hotels inc
brian jones / b & c farm,3232 st. lukes rd,salisbury,md,21804,38.2814056,-75.5753492,chicken,90000,NA,brian jones  b  c farm
brian laird farm,28179 venton rd,princess anne,md,21853,38.1939718,-75.7761422,chicken,92000,NA,brian laird farm
brian sterling,brian sterling,pocomoke city,md,21851,38.06602,-75.55181,chicken,237200,NA,brian sterling
brightwell farms,6572 bowden road,honoraville,al,36042,31.93991,-86.40103,chicken,NA,NA,brightwell farms
brittenham farms inc,5101 farm road 1090,monett,mo,65708,36.848777345,-93.900115301,chicken,140000,1120,brittenham farms inc
britt-mick farms,1176 lake frankie road,samson,al,36477,31.144902,-86.049192,chicken,NA,NA,brittmick farms
brock davis farm,8865 county road 7708,troy,al,36081,31.94146,-85.9167,chicken,NA,NA,brock davis farm
broken g farms llc,13379 harms road,windsor,mo,65360,38.556426244,-93.45099857,chicken,288000,2304,broken g farms llc
broken h farms,1792 county road 482,crossville,al,35962,34.31228,-86.05369,chicken,NA,NA,broken h farms
brooks aydelotte/peace & plenty farm & roosters and roses,2311 payne rd3064 brantley rd,pocomoke city,md,21851,38.06602,-75.55181,chicken,210000,NA,brooks aydelottepeace  plenty farm  roosters and roses
brooks brittingham/b & k farm (new construction),8710 ninepin branch road,newark,md,21841,38.2511,-75.29011,chicken,120000,NA,brooks brittinghamb  k farm new construction
brown farms,1978 county road 20,dawson,al,35963,34.31917,-85.95184,chicken,NA,NA,brown farms
brown farms,4135 county road 71 centre,centre,al,NA,34.10615,-85.73165,chicken,NA,NA,brown farms
brown farms,3295 eva road,eva,al,35621,34.35413,-86.76583,chicken,NA,NA,brown farms
brown farms,701 county road 247,fruithurst,al,36262,33.839565,-85.427902,chicken,NA,NA,brown farms
brown land & chicken co. limited partnership,7954 &7960 brown rd,salisbury,md,21801,38.4104224,-75.5539519,chicken,144000,NA,brown land  chicken co limited partnership
brown poultry,1818 barfield fire dept road,lineville,al,36266,33.37525,-85.74124,chicken,NA,NA,brown poultry
brubaker run farm,2693 n colebrook road,manheim,pa,NA,40.196912,-76.487016,chicken,NA,NA,brubaker run farm
bruce bartz/tuckahoe farm,23670 willow pond rd,denton,md,21629,38.8909593,-75.8825548,chicken,108000,NA,bruce bartztuckahoe farm
bruce j. twilley/twilley farm,3809 warwick rd,secretary,md,21664,38.60926,-75.947,chicken,54000,NA,bruce j twilleytwilley farm
bruce nossick farm (new construction),6585 palmer mill roadnear intersection of medford rd.,hurlock,md,21643,38.63816,-75.86254,chicken,144000,NA,bruce nossick farm new construction
"bryan j. truitt/all in, no limit, hudson farm, samatha truitt",7658 davis rd,whaleyville,md,21872,38.4087262,-75.3151614,chicken,256000,NA,bryan j truittall in no limit hudson farm samatha truitt
bui tcb farm,6120 highway 63,russellville,al,35653,34.449095,-87.723852,chicken,NA,NA,bui tcb farm
"bunting farms, inc",2622 bunting rd,pocomoke city,md,21851,38.0127496,-75.5371049,chicken,164000,NA,bunting farms inc
burbage farms,powell road,brantley,al,36009,31.554167,-86.179444,chicken,NA,NA,burbage farms
burden & son farm,2555 county road 262,town creek,al,35672,34.63627,-87.37922,chicken,NA,NA,burden  son farm
burden farms,541 county road 453,town creek,al,35672-4348,34.635278,-87.356944,chicken,NA,NA,burden farms
burns poultry farms-cafo,9922 irish road,millington,mi,48746,43.23861,-83.55944,chicken,8580,NA,burns poultry farmscafo
byran vandiver farms,2225 waldrep loop,leighton,al,35646,34.591767,-87.547093,chicken,NA,NA,byran vandiver farms
c & d farms,county road 119-11903 state highway 172,hackleburg,al,NA,34.28165,-87.861159,chicken,NA,NA,c  d farms
c & k farms,22847 colquett rd.,opp,al,36467,31.32002,-86.22888,chicken,NA,NA,c  k farms
c & m ellingsworth inc.,218 legion rd,millington,md,21651,39.2476077,-75.868806,chicken,94000,NA,c  m ellingsworth inc
c and c farms,1 huey faulk rd.,ariton,al,NA,31.60804,-85.6215,chicken,NA,NA,c and c farms
c and m farms,county road 425,cullman,al,35057,34.12955,-86.91879,chicken,NA,NA,c and m farms
c and v lor farm,1754 tiger road,stella,mo,64861,36.746107892,-94.186396528,chicken,150000,1200,c and v lor farm
c d wells farm,c d wells,cullman,al,NA,34.243611,-86.794167,chicken,NA,NA,c d wells farm
"c davis & girls farms, llc",cr 7711,troy,al,36081,31.993611,-85.913333,chicken,NA,NA,c davis  girls farms llc
c j farm,486 county road 95,heflin,al,36273,33.562222,-85.345556,chicken,NA,NA,c j farm
c. c. farms,3544 renfroe rd.,talladega,al,NA,33.44079,-86.20698,chicken,NA,NA,c c farms
c. dale story/viilage view farm,1709 barclay rd,barclay,md,21607,39.1464492,-75.8568981,chicken,65000,NA,c dale storyviilage view farm
c. oliver farm,co rd 70 & 357,groveoak,al,35975,34.414722,-86.023333,chicken,NA,NA,c oliver farm
c. yer moua farm,22282 mulberry rd.,granby,mo,64844,36.864391591,-94.240309851,chicken,216000,1728,c yer moua farm
c.anderson farm,9001 ring rd,westover,md,21871,38.10785,-75.74177,chicken,38000,NA,canderson farm
callaway farms,3394 county road 221,moulton,al,35650-6306,34.49318,-87.17699,chicken,NA,NA,callaway farms
"cal-maine foods, inc. - dade city farm 88",11228 singletary road,dade city,fl,33523,28.3257653632369,-82.1302282625932,chicken,NA,NA,calmaine foods inc  dade city farm 88
calvin channel farms,1455 highway 87,russellville,al,35654,34.49884,-87.58783,chicken,NA,NA,calvin channel farms
calvin farm,some where in the county,ft payne,al,NA,34.442991,-85.78674,chicken,NA,NA,calvin farm
calvin taylor,4734 newton rd,preston,md,21655,38.7365522,-75.9101197,chicken,55200,NA,calvin taylor
cam tu pham farm (new construction),26033 ditch bank road,eden,md,21822,38.28075,-75.65191,chicken,368800,NA,cam tu pham farm new construction
campbell farms,county road 51,mckenzie,al,36401,31.518611,-86.718056,chicken,NA,NA,campbell farms
cantrell farm,county road 621,woodland,al,36280,33.315278,-85.347222,chicken,NA,NA,cantrell farm
