fei_num,name,city,state,zip
3014880986,terrasur imports,mount laurel,new jersey,08054
1315651,collegetown bagels,ithaca,new york,14850
2020711,la canasta mexican food products,phoenix,arizona,85009
3010257227,papaya fresh,san diego,california,92154
3012487569,marty placencia cheese imports,new york,new york,10032
3008734678,air culinaire worldwide  vny,van nuys,california,91406
2245923,citrus products,newark,new jersey,07114
3012808883,tonys chocolonely,new york,new york,10003
3010915426,franklin processing,franklin,maine,04634
3006290247,vera brothers produce,covina,california,91722
3012195317,medina brothers,capitol heights,maryland,20743
3007729626,tortilleria santacruz enterprise,escondido,california,92027
3007258171,mountain view provisions,bow,new hampshire,03304
3009477991,bonduelle usa,bergen,new york,14416
3013092659,campo verde packing,los angeles,california,90021
3012364751,pritchard farms,angie,louisiana,70426
3006850357,rt products,bronx,new york,10455
3011884074,lovin oven,longmont,colorado,80501
2243908,johanna foods,flemington,new jersey,08822
3010959767,these things take time,westminster,colorado,80021
3013477215,the real,wilmington,delaware,19808
3005094425,pea king produce,santa maria,california,93458
3015329086,golden eagle distributors,bensenville,illinois,60106
3013654195,cabefruit produce,mcallen,texas,78503
3015970730,salimo trading,oakley,california,94561
3012883991,custom source,worcester,massachusetts,01605
2434617,food gems,ozone park,new york,11416
3006548234,dandrea foods,east bridgewater,massachusetts,02333
3009912567,sun pacific marketing coop,pasadena,california,91106
3012237427,abbott blackstone,clearwater,florida,33755
3004336762,chicagoland beverage corporation,chicago,illinois,60612
3013742582,new england sauce,derry,new hampshire,03038
3005643802,classic confection,rahway,new jersey,07065
2000045201,hershey creamery company,augusta,maine,04330
1000122640,freestore foodbank,cincinnati,ohio,45229
3002000790,dellamore enterprises,colchester,vermont,05446
3004358203,monroe regional airport,monroe,louisiana,71203
1000512345,true world foods dc,jessup,maryland,20794
3012086601,twin sisters creamery,ferndale,washington,98248
3013705098,newcold seattle operations,tacoma,washington,98466
3004389855,eagle nutritionals,carlstadt,new jersey,07072
1527158,dd group,columbus,ohio,43204
2000030820,raja foods and vegetables,maspeth,new york,11378
3005138932,ams import,brooklyn,new york,11211
3004526108,new siam trading,brooklyn,new york,11237
3012115351,dole fresh fruit company,crum lynne,pennsylvania,19022
3012274219,axis labs,englewood,colorado,80112
3017030738,dfa dairy brands fluid,grand rapids,michigan,49548
3004248477,ocean cliff corporation,new bedford,massachusetts,02740
3015406074,granite ridge farms,salem,oregon,97317
1783599,taylor farms colorado,colorado springs,colorado,80916
1720694,northeast seafood products,denver,colorado,80239
3003066511,cec entertainment,irving,texas,75063
3012364369,grante foods international,bloomingdale,illinois,60108
3015069141,juan antonio garcia,la mesa,california,91941
3004289461,cathay la,los angeles,california,90012
2412822,oj and d bacalao distributors,bronx,new york,10474
3008456241,wuensche usa,forest park,illinois,60130
3006891402,connecticut pie,agawam,massachusetts,01001
3012185508,imperialsavannah lp,port wentworth,georgia,31407
3011425458,jmd,ashburn,virginia,20147
3008093004,mackenzie river llc dba mackenzie creamery,hiram,ohio,44234
2246870,lfi,fairfield,new jersey,07004
1815248,holland american food company,grand rapids,michigan,49519
1717996,ticos mexican foods,denver,colorado,80223
3008154434,neo usa food,vernon,california,90058
3012850103,iq produce,vernon,california,90058
3014112249,eattiamo usa,san francisco,california,94104
2000014926,bimbo bakeries usa,horsham,pennsylvania,19044
3000237804,pure encapsulations,sudbury,massachusetts,01776
3012272590,78 brand,chicago,illinois,60608
1520265,davis bakery,warrensville heights,ohio,44128
1000444851,luna gourmet coffee and tea company,denver,colorado,80216
2000005255,united samples,tustin,california,92780
3012196651,jag world wide imports,birmingham,michigan,48009
3010625571,my artisano foods,cincinnati,ohio,45215
3010112,del monte foods inc  plant 122,toppenish,washington,98948
3008975119,jumpin good goat dairy,buena vista,colorado,81211
3013364610,baron family foods,el cajon,california,92020
3012289006,alpine marketing dba alpine fresh,doral,florida,33178
3004856433,andes river marketing services corporation,moorestown,new jersey,08057
3010434417,jr produce,houston,texas,77008
1000259039,interamerican quality foods,san antonio,texas,78216
3004284805,mor usa,avondale,pennsylvania,19311
3008627050,theobroma chocolates llc dba brooklyn born chocolate,rahway,new jersey,07065
3004448310,mirrotek international,passaic,new jersey,07055
3003709933,cj cranam inc dba valley view orchard pies,oxford,maine,04270
3001237317,ever better eating,pittsfield,new hampshire,03263
2000020260,packit,rosedale,maryland,21237
2245418,fcc products,livingston,new jersey,07039
2210525,eagle nutritionals,carlstadt,new jersey,07072
1000112294,ast sports science,golden,colorado,80401
3012320511,growers are us,hialeah,florida,33015
2000034422,tierra farm,valatie,new york,12184
3010922218,sw gfi llc dba gourmet foods international,conroe,texas,77385
3000313482,spartan bros,chicago,illinois,60631
1000285572,kohyo america,torrance,california,90501
2433282,v cimino  co,lindenhurst,new york,11757
3015335679,rc berndt inc dba sierra produce,orange,california,92866
3006974363,de mi pueblo,annandale,virginia,22003
3013792051,primo specialty foods,denver,colorado,80223
1000513547,rhino foods,burlington,vermont,05401
3016667500,sandy ridge berry farms,salem,oregon,97305
2221646,chelten house products,bridgeport,new jersey,08014
1512210,fkc,cincinnati,ohio,45206
3013713463,delices sucres french pastries,reynoldsburg,ohio,43068
3006185737,calafia growers,san clemente,california,92673
3010975320,melissa barrios chb,laredo,texas,78040
3012369249,lj neville enterprises,valrico,florida,33596
3008407032,everhills foods,commerce,california,90040
1319319,landies candies,buffalo,new york,14214
3004682643,d  m,huntington station,new york,11746
1510179,t marzetti company,columbus,ohio,43214
3010577717,energy beverages na,scottsdale,arizona,85255
3006411561,j  sons bakery corp dba ostrovitsky bakery,brooklyn,new york,11230
3004800165,jeans posh pantry,poway,california,92064
1000307833,viking village,barnegat light,new jersey,08006
3013155437,california exports usa,encino,california,91316
3012184815,coastal fresh farms,westlake village,california,91362
1117380,j f c international,savage,maryland,20763
3013716234,gourmet growers,irving,texas,75062
3010372927,nuttin ordinary,peterborough,new hampshire,03458
1000139700,gourmet international,grand rapids,michigan,49512
3006669566,ameristar casino black hawk,black hawk,colorado,80422
2411826,l and s packing co,farmingdale,new york,11735
3009516388,casamerica marine,doral,florida,33172
3010303910,ferrara candy company,chicago,illinois,60607
3009748009,rv pharma,bohemia,new york,11716
2415132,krasdale foods,bronx,new york,10474
3000202880,arthur schuman,fairfield,new jersey,07004
3014173047,king produce,pharr,texas,78577
3009530388,ravco foods,laredo,texas,78045
3012160776,international fruit company,hammonton,new jersey,08037
1000470802,ronald a chisholm usa,linden,michigan,48451
3003647261,the hemisphere group,smithtown,new york,11787
3014189033,mission,renton,washington,98057
3011875601,american fortune food,city industry,california,91748
3000093376,the g s haly company,redwood city,california,94062
3011893389,frontier airlines,tampa,florida,33614
3012280220,fresh imports intl,hidalgo,texas,78557
3012606179,azteca milling,irving,texas,75038
3014113749,cal veg farm,oxnard,california,93030
3010877083,golden agriresources usa,virginia beach,virginia,23462
3015839251,select produce,mcallen,texas,78503
3014120827,coffee capsules inc dba gourmesso,miami,florida,33133
3013057825,puro brands,margate,florida,33068
1000280054,montes usa,san diego,california,92101
1000181837,consolidated farms,miami,florida,33122
3015212425,hometown food company,chicago,illinois,60661
1311323,great lakes cheese of new york,adams,new york,13605
3012431159,haribo food 2004,hialeah,florida,33010
3002924421,jet blue airways,jamaica,new york,11430
1000208927,the fillo factory,northvale,new jersey,07647
2240452,portuguese baking company lp,newark,new jersey,07105
3002847718,agrosale,miami,florida,33142
3012587838,klinghoffer brothers,philadelphia,pennsylvania,19153
3014378821,nandos periperi usa,washington,district of columbia,20001
3013432122,da granulation,lakewood,new jersey,08701
3012261469,first choice importing,marlboro,new jersey,07746
3010242902,fresco produce,mcallen,texas,78503
3009456264,foiled  again chocolate coins,cary,north carolina,27513
3006163061,raffettos fresh pasta,moonachie,new jersey,07074
3012591508,universal yums,roseland,new jersey,07068
3013059391,rd foods americas,fair lawn,new jersey,07410
3006241154,pacific exchange distributors,long beach,california,90810
3013300897,j  b european distribution,long island city,new york,11101
3013979103,ecovinal usa,miami,florida,33176
3008032344,continental foods,cerritos,california,90703
3006610608,genavite,hackensack,new jersey,07601
3000210280,contes pasta company,vineland,new jersey,08360
3000273705,starbucks pilot plant,seattle,washington,98134
3013199019,dominican product,miami,florida,33125
3014315090,campomex usa,orange,california,92869
3015780166,super sal of america,encino,california,91316
2243241,command nutritionals,fairfield,new jersey,07004
1523176,ohio hickory harvest brand products,coventry township,ohio,44319
3009324507,apna foods imports,addison,illinois,60101
3015430472,sesamagic,denver,colorado,80230
3014398140,fella group,irvine,california,92618
3002937563,apollo greek foods  pastries inc dba dc oriental wholesaler,washington,district of columbia,20002
3010311497,st clemens usa,bonita springs,florida,34135
3003971596,great northern fudge,south paris,maine,04281
3022507,golden international import  export corporation,renton,washington,98057
3013452733,cotton ice llc dba cotton ice,plano,texas,75075
3014151529,westfalia fruit marketing usa,oxnard,california,93030
3013849045,britos distributor,beltsville,maryland,20705
3004266209,gavilon grain llc  terre haute west,terre haute,indiana,47802
3014310716,cedar trading,miami,florida,33166
3004296725,barilla america,northbrook,illinois,60062
3003110574,amazon produce network,vineland,new jersey,08360
3005013963,risingsun iodine products,livingston,montana,59047
3015057060,four seasons global trading,doral,florida,33178
3015280174,luckytaro,vernon,california,90058
3011925609,lidl us trading,arlington,virginia,22202
3003468370,praia da rocha jr,elizabeth,new jersey,07206
3012268657,viva tierra organic,mount vernon,washington,98273
2210376,mondelez global,fair lawn,new jersey,07410
3001237875,dr praegers sensible foods,elmwood park,new jersey,07407
3008563045,better health lab,hackensack,new jersey,07601
3012421546,ultimate trading,pompano beach,florida,33062
3010996673,eh distributors,san diego,california,92154
3013687788,hmv produce,pharr,texas,78577
3012168648,mex import export usa,houston,texas,77057
3008863977,liber chocolate  food products co,bayonne,new jersey,07002
3014938563,capelle international,miami,florida,33131
3010070450,rr  tequila limes,donna,texas,78537
3014302017,bankusli enterprise international,jackson,mississippi,39211
1950042,abs corporation,omaha,nebraska,68112
3012539939,akt trading,torrance,california,90504
3003225355,vitalhealth tech,clifton,new jersey,07014
3012826500,fresh vegetables distribution,mcallen,texas,78503
3011145718,di bruno bros,philadelphia,pennsylvania,19103
3004950110,beon produce,commerce,california,90040
3011331755,dairy import,cranbury,new jersey,08512
3007523235,calvisius usa,fairfield,new jersey,07004
2240632,sea breeze fruit flavors,towaco,new jersey,07082
3012557330,zia valentina,los angeles,california,90036
3004288806,fine foods internatinal,saint louis,missouri,63123
3013854250,green food ingredients,burr ridge,illinois,60527
3015461940,ancient brands grain traders,aurora,illinois,60505
1000170905,max van pels,hartsdale,new york,10530
3015251834,felicetti us,charlotte,north carolina,28226
3013118644,euroamerican brands,paramus,new jersey,07652
1000117375,altamira,denver,colorado,80207
3013223293,stella farms,scottsdale,arizona,85258
1000139054,mt trading,houston,texas,77003
3003609939,mamtakim,staten island,new york,10303
1000133649,sunland trading,new canaan,connecticut,06840
3005571835,nacho wholesale produce,los angeles,california,90021
1694277,bay valley foods,san antonio,texas,78227
2000033447,a plus vegetable,vernon,california,90058
1640900,fritolay,plano,texas,75024
3013281286,farmers best international,rio rico,arizona,85648
3011653512,dareye ethiopian bakery,oakland,california,94612
3010438475,hyder finer foods,olathe,kansas,66062
3001304614,tijerina  sons,mcallen,texas,78503
3014238784,peg produce,mission,texas,78572
3013948510,spring valley produce inc produ,rio rico,arizona,85648
3014360746,amjr equity llc dba fine food impor,miami,florida,33169
3004708173,lecoq cuisine corporation,bridgeport,connecticut,06607
3012959343,sourcing organics,oakland gardens,new york,11364
3004733715,ethen foods,auburn,washington,98001
3013659654,smirks,fort morgan,colorado,80701
3014103512,dole fresh fruit company,westlake village,california,91362
3008275150,aa trading and investment,lanham,maryland,20706
3013763201,the compleat food group international,wilmington,delaware,19808
3014209177,picklemex,hidalgo,texas,78557
3006744389,gerber products company dba nestle infant nutrition,arlington,virginia,22209
3013523799,kaneyama trading,englewood cliffs,new jersey,07632
1130655,chesapeake shipbuilding corporation,salisbury,maryland,21801
3004124418,vollmer products international,san antonio,texas,78209
3004260203,git usa,cherry hill,new jersey,08003
1000137935,lt steumach,machiasport,maine,04655
3009841929,stay fresh foods,meriden,connecticut,06451
3003967757,abbey specialty foods,fairfield,new jersey,07004
3012872541,basic promotions ii,coral springs,florida,33076
3007643956,mega leader,miami,florida,33122
3007832670,tretos  sons,los angeles,california,90021
3015359469,toys  world inc dba distribuidora del valle,hidalgo,texas,78557
3005374263,ziba nut,port washington,new york,11050
3011129517,galletas tanisel,moca,puerto rico,00676
3015335988,pacific trellis fruit,los angeles,california,90023
1000522876,hkh jvc,honolulu,hawaii,96817
3004248626,ciruli brothers,rio rico,arizona,85648
3014915118,aj produce,bronx,new york,10474
3008390534,trenton trading company llc dba mexi brand,humble,texas,77396
3003506315,jb distributing,chicago,illinois,60641
3006563663,premier food supplies,troy,michigan,48084
3014203825,advanced farm technology,indianapolis,indiana,46240
3012265801,happy produce,san diego,california,92154
3014958297,maya groceries,jersey city,new jersey,07306
3013602690,partrisa louise,miami,florida,33161
3014541779,mkfp international trading,san diego,california,92123
3012200265,pasco foods,spicewood,texas,78669
3013356294,vista produce,kennesaw,georgia,30144
3012662228,best fresh,chandler,arizona,85286
3006525426,royal flavor,san diego,california,92154
2000035265,garland ventures ltd dba bally plus food solutions,garland,texas,75042
3014015311,squisito fine foods,bonita springs,florida,34134
3013563583,kentree international,culver city,california,90230
3013055434,interfries,miami,florida,33179
3010774065,sahaj foods corporation,sugar land,texas,77479
3014498483,golden west vegetables,oxnard,california,93030
3014617548,florida wholesalers,tampa,florida,33605
3007253511,cfl produce,san diego,california,92154
3000127989,misson produce,oxnard,california,93036
1640405,heb grocery company lp dba heb milk  culture plant 80645,san antonio,texas,78218
3013649113,au montagne,arcadia,california,91006
3004026624,quintana hnos,san juan,puerto rico,00920
3007904663,haile imports,los angeles,california,90019
3010331715,bc imports,puyallup,washington,98374
3014112202,teeaam fresh,mcallen,texas,78501
3002306825,italfoods,south san francisco,california,94080
3012812806,j and y trading,englewood cliffs,new jersey,07632
3014599150,new zealand kiwi holdings,newport beach,california,92660
3003132211,meditco inc dba phoenicia specialty foods,houston,texas,77077
2000006568,handylee usa,maspeth,new york,11378
3014948353,kllr coffee,oklahoma city,oklahoma,73103
3005961675,tr sales co,boca raton,florida,33432
3012483139,sunkist global,valencia,california,91355
3009648572,gourmet specialties,vernon,california,90058
3013183827,the chia company usa,new york,new york,10012
3015138013,empire fresh produce,dallas,texas,75215
3004249419,big chuy distributors  sons,nogales,arizona,85621
3003163911,pita plus,elk grove village,illinois,60007
3014246692,oesse foods,miedley,florida,33178
3004939207,citrofrut usa,mcallen,texas,78503
3009856938,talayote group,mcallen,texas,78504
1031355,sysco food services of south florida,medley,florida,33178
3009068227,yasa marketing,chicago,illinois,60632
3005063754,tristar food wholesale co,jersey city,new jersey,07304
3004872026,krishna food,branchburg,new jersey,08853
3013464751,vnine,hyattsville,maryland,20785
3014723035,possmei texas,addison,texas,75001
3013946830,doozland,pharr,texas,78577
3013110721,insan healing,los angeles,california,90006
3003164386,harvest sensations,doral,florida,33122
3015088021,kroger,romulus,michigan,48174
3013315744,italian imports,lake st louis,missouri,63367
3012987016,sunmex produce,mcallen,texas,78501
3003736904,b  i overseas trading,van nuys,california,91406
3012255073,ilio products,aiea,hawaii,96701
3015329757,good view future group,san mateo,california,94401
3013164085,marctin enterprises,fort lauderdale,florida,33394
3012399646,roodys distribution,haines city,florida,33844
3004216934,c j america,los angeles,california,90010
3004710133,freska produce international,oxnard,california,93030
3014498608,cooq merchants  consulting,miami,florida,33127
3012986160,mi pulpe,miami,florida,33147
3015334026,talklc,rosharon,texas,77583
3006496617,hortifrut imports,estero,florida,33928
3011417136,ocean blue international,pompano beach,florida,33069
3012523448,roma foods group,miami,florida,33142
3012308333,red sun farms,pharr,texas,78577
3013403852,delight big bazaar,monmouth junction,new jersey,08852
3005798331,sunny valley international,glassboro,new jersey,08028
3008626445,new york herbs company,brooklyn,new york,11204
3011288282,occidental business,edison,new jersey,08820
3015580981,viet pathfinder distribution,frisco,texas,75033
3012272119,forno usa,new york,new york,10004
3012561786,total sweeteners,des plaines,illinois,60018
3012816535,henry lambertz,fairfield,new jersey,07004
3010104222,mellow mine trading,pasadena,california,91101
